Policy_Number,Insured_ID,Policy_Type,Effective_Date,Expiration_Date,Policy_Status,Payment_Status,Annual_Premium,Monthly_Premium,Payment_Method,Broker,Discounts_Applied
PVGAI2BIA,CMBTX4JP,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,7161,0,Credit Card,Acme Insurance,None
P02XBQQO1,3XW05890,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,14298,0,Invoice,Acme Insurance,None
PK73RRUCU,3XW05890,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,18681,0,Credit Card,Acme Insurance,None
PG0G0R85O,3XW05890,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,14543,0,Credit Card,Acme Insurance,None
PBYFLI9CD,FSQ1T23K,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,13015,0,ACH,Acme Insurance,None
P1FISXV7T,CVJ5JEFJ,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,19951,0,Invoice,Acme Insurance,None
P8SENH4MV,AH3B65C6,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,3160,0,Invoice,Acme Insurance,None
PL5DVWF6D,AH3B65C6,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,12641,0,ACH,Acme Insurance,None
PUOUCC48S,AH3B65C6,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,12318,0,Credit Card,Acme Insurance,None
PH6SR056G,U3TJXPHJ,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,6145,0,Credit Card,Acme Insurance,None
PCPUSLO3D,U3TJXPHJ,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,17398,0,ACH,Acme Insurance,None
PPEVMLIFK,OO6COKYX,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,2884,0,Invoice,Acme Insurance,None
PC3881SX2,OO6COKYX,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,15389,0,Invoice,Acme Insurance,None
PUQM3PO6D,OUOGEZQ6,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,10432,0,ACH,Acme Insurance,None
P7OWGC1Z2,I8PPF7H1,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,9759,0,ACH,Acme Insurance,None
P3SICGHZ0,I8PPF7H1,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,2239,0,Invoice,Acme Insurance,None
PW2AM6DD7,XTAKFDZG,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,19226,0,ACH,Acme Insurance,None
PMIXE4UZL,XTAKFDZG,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,11821,0,ACH,Acme Insurance,None
POK9CUHBD,1JUCOWEO,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,4798,0,ACH,Acme Insurance,None
PLRR1H24R,1JUCOWEO,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,15142,0,Invoice,Acme Insurance,None
P5SKAGUFQ,1JUCOWEO,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,15267,0,ACH,Acme Insurance,None
PQW2C04NX,Y7EZ7NS7,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,10264,0,Invoice,Acme Insurance,None
P5IQD9MQS,Y7EZ7NS7,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,19901,0,Invoice,Acme Insurance,None
PZV93RJRE,Y7EZ7NS7,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,7448,0,Credit Card,Acme Insurance,None
P919T6JFC,HVYYYA4B,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,13928,0,Credit Card,Acme Insurance,None
P1V1G3YVI,HVYYYA4B,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,7811,0,ACH,Acme Insurance,None
P883SEBDJ,HVYYYA4B,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,16958,0,Credit Card,Acme Insurance,None
P0YP7SNBT,3SOBY2S2,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,14719,0,Invoice,Acme Insurance,None
PLS0S4F9B,3SOBY2S2,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,18594,0,Credit Card,Acme Insurance,None
PR786XYHM,SHA1C5A5,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,12660,0,ACH,Acme Insurance,None
PMEYLAT84,2K685LZ1,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,12458,0,Invoice,Acme Insurance,None
PANB5SUH0,A0Y58XF1,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,13780,0,ACH,Acme Insurance,None
PXYOJYYJE,A0Y58XF1,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,18723,0,Credit Card,Acme Insurance,None
P6FCT0ZCY,A0Y58XF1,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,15271,0,Invoice,Acme Insurance,None
P5QJVL8MT,UCRR2P5U,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,13669,0,ACH,Acme Insurance,None
PJN16Y48Z,FC6MOE1B,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,18437,0,ACH,Acme Insurance,None
PTAZ2YNVF,FC6MOE1B,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,2464,0,Credit Card,Acme Insurance,None
P5VIEGD2Q,FC6MOE1B,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,15877,0,Credit Card,Acme Insurance,None
PVZW324ZK,8XGOUPMS,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,9046,0,Invoice,Acme Insurance,None
P5I3RCHW6,8XGOUPMS,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,7295,0,ACH,Acme Insurance,None
PCUIPW7ZR,8XGOUPMS,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,4283,0,Invoice,Acme Insurance,None
PU6YBYHTA,W1IZ4YDI,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,3937,0,Credit Card,Acme Insurance,None
P4TBH4GU4,W1IZ4YDI,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,17477,0,ACH,Acme Insurance,None
P0GVTE61C,6JL2Z4FE,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,15103,0,ACH,Acme Insurance,None
P6WOFZAUF,NLEJB48X,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,7409,0,Credit Card,Acme Insurance,None
PADP3U775,NLEJB48X,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,4818,0,Credit Card,Acme Insurance,None
PIE4WOAII,NLEJB48X,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,19708,0,ACH,Acme Insurance,None
PAGSL5ADZ,IUO0ADDQ,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,9734,0,ACH,Acme Insurance,None
P9YWR665W,B46HI2FO,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,14159,0,Invoice,Acme Insurance,None
PIMFXP73N,SMDX7AZR,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,10770,0,ACH,Acme Insurance,None
P9Z6H3WG5,SMDX7AZR,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,19290,0,Invoice,Acme Insurance,None
P4P9RZ3IX,3YK0VIUG,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,18110,0,ACH,Acme Insurance,None
P4XL32H0L,3YK0VIUG,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,3249,0,Invoice,Acme Insurance,None
PXW6VV5B6,UL91KGQK,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,6601,0,Credit Card,Acme Insurance,None
PI9AHTMG9,UL91KGQK,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,4335,0,Credit Card,Acme Insurance,None
P3Y1IHE4F,UL91KGQK,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,7275,0,Invoice,Acme Insurance,None
PRMDO2P2V,4RZNWCXS,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,12401,0,Invoice,Acme Insurance,None
PF1AFW0OT,4RZNWCXS,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,3610,0,Invoice,Acme Insurance,None
PCVGN3VQH,4RZNWCXS,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,13560,0,Credit Card,Acme Insurance,None
P48X605IZ,GUVNUISW,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,19435,0,Credit Card,Acme Insurance,None
PS4ICMVWV,GUVNUISW,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,10006,0,ACH,Acme Insurance,None
PIJFQX3YT,GUVNUISW,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,6909,0,Credit Card,Acme Insurance,None
PCTNZYLXN,4TG7L7DC,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,8969,0,ACH,Acme Insurance,None
PL51UCDCA,4TG7L7DC,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,16781,0,Credit Card,Acme Insurance,None
PL4SGV0ID,U0H3TOMW,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,19401,0,Credit Card,Acme Insurance,None
P9ASBCS60,U0H3TOMW,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,16323,0,ACH,Acme Insurance,None
PPLFRO0ZM,U0H3TOMW,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,6615,0,Invoice,Acme Insurance,None
P3LCZKGJN,CALBHEQ5,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,19609,0,Invoice,Acme Insurance,None
PYPZFZO4Z,O2QY8J2T,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,18156,0,Credit Card,Acme Insurance,None
PPT0KANO2,O2QY8J2T,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,17084,0,Credit Card,Acme Insurance,None
PZALGWQ12,BNZPN0PB,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,18305,0,Invoice,Acme Insurance,None
P9HT0KMIQ,BNZPN0PB,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,7993,0,Invoice,Acme Insurance,None
PID42JLBL,FCXBQDMS,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,14941,0,ACH,Acme Insurance,None
PRJ775IOO,GJGMW1J8,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,15586,0,Invoice,Acme Insurance,None
PBJ27VTYG,GJGMW1J8,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,9106,0,ACH,Acme Insurance,None
PVE230YJZ,Y3PQAF1N,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,8758,0,ACH,Acme Insurance,None
P7PNNSDSF,Y3PQAF1N,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,3927,0,Invoice,Acme Insurance,None
P6UAYJO2T,CVUJ2HCS,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,15694,0,Invoice,Acme Insurance,None
P9BF4CKRV,CVUJ2HCS,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,7079,0,Credit Card,Acme Insurance,None
PCFHMKLPB,CVUJ2HCS,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,6683,0,Invoice,Acme Insurance,None
P6OPMIDRO,58NX3A3H,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,2825,0,Invoice,Acme Insurance,None
PU22199LH,58NX3A3H,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,16740,0,Invoice,Acme Insurance,None
P0YSHX335,58NX3A3H,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,14009,0,Invoice,Acme Insurance,None
PAQJHVLO6,H0OR1QKZ,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,13417,0,Credit Card,Acme Insurance,None
PF5OR9UAW,Q965AQFG,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,2330,0,ACH,Acme Insurance,None
PH7ER8PGP,AEJSRPGZ,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,17779,0,Credit Card,Acme Insurance,None
PU9RVSOLD,6FD93DDR,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,14696,0,ACH,Acme Insurance,None
PTMQ82B8S,HNA7C1X0,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,15556,0,ACH,Acme Insurance,None
PBSWAA44P,HNA7C1X0,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,14941,0,ACH,Acme Insurance,None
PYFJBCGN2,HNA7C1X0,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,5828,0,Credit Card,Acme Insurance,None
P41942K5Z,LYOJ2DY6,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,8752,0,Credit Card,Acme Insurance,None
PQPZOTYVD,6FPHARFX,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,5176,0,Credit Card,Acme Insurance,None
PFD47PZS4,FE5OC9Q3,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,4989,0,Credit Card,Acme Insurance,None
PZRFV8DL7,FE5OC9Q3,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,18000,0,ACH,Acme Insurance,None
P00IGFS5Q,3Q0SJBEH,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,8307,0,ACH,Acme Insurance,None
PBMCCYT20,3Q0SJBEH,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,16375,0,Invoice,Acme Insurance,None
PAY3VWVJZ,3Q0SJBEH,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,13852,0,ACH,Acme Insurance,None
PR1JTWMJE,FSKQ1B0F,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,5790,0,ACH,Acme Insurance,None
PDSSC08IH,FSKQ1B0F,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,8763,0,Credit Card,Acme Insurance,None
PJEGDM8O8,MGQB12UX,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,10302,0,ACH,Acme Insurance,None
PN7SL6DTW,MGQB12UX,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,5627,0,Credit Card,Acme Insurance,None
PNOCXQXNR,MGQB12UX,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,12097,0,Invoice,Acme Insurance,None
P0QA4VZNS,R07BL54T,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,18508,0,Invoice,Acme Insurance,None
P8Y4SZ6QN,R07BL54T,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,17890,0,ACH,Acme Insurance,None
PW32IC1QT,TXA7P7MV,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,4365,0,Invoice,Acme Insurance,None
PROZDXLZS,6Q757U5E,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,17043,0,Invoice,Acme Insurance,None
PFVC1V5YL,6Q757U5E,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,12507,0,Invoice,Acme Insurance,None
PH90PA344,LF5FTO8E,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,7055,0,Invoice,Acme Insurance,None
P9H3V1GYA,LF5FTO8E,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,4332,0,Credit Card,Acme Insurance,None
P6C5B7RHI,CESN7G2K,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,19505,0,Credit Card,Acme Insurance,None
PLKRN5E88,CESN7G2K,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,13471,0,ACH,Acme Insurance,None
PB9Y98C5L,CESN7G2K,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,17843,0,Credit Card,Acme Insurance,None
P3XK9BVW5,RUD01HH5,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,18999,0,ACH,Acme Insurance,None
PJWPOA6UA,RUD01HH5,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,8933,0,ACH,Acme Insurance,None
PFVRPSE19,RUD01HH5,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,19800,0,ACH,Acme Insurance,None
P33Q919QA,TXGD9OW9,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,4155,0,Credit Card,Acme Insurance,None
P7UJMXUQS,TXGD9OW9,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,10190,0,Invoice,Acme Insurance,None
PV36R94NL,YDLNXHHT,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,14401,0,Credit Card,Acme Insurance,None
P3XRREG61,YDLNXHHT,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,13005,0,ACH,Acme Insurance,None
PD364O4B2,YDLNXHHT,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,17620,0,Credit Card,Acme Insurance,None
P06NSSSFJ,8PO2MZNG,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,5738,0,ACH,Acme Insurance,None
PBY7A4H8D,7T5CLGYP,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,8865,0,Credit Card,Acme Insurance,None
PV4END95Y,7T5CLGYP,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,14219,0,ACH,Acme Insurance,None
P1DKH8V5P,7T5CLGYP,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,5146,0,Invoice,Acme Insurance,None
P6W4VJO7Y,QK5S5NB1,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,11182,0,Credit Card,Acme Insurance,None
PMFQ24KI0,QK5S5NB1,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,3700,0,ACH,Acme Insurance,None
PMNFKZYM1,QK5S5NB1,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,9915,0,Credit Card,Acme Insurance,None
PJOTQQAYN,3FU29T62,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,4248,0,Credit Card,Acme Insurance,None
P107MOAO3,HJ7YQAFD,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,13852,0,ACH,Acme Insurance,None
PQ2CQ4CTV,HJ7YQAFD,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,6660,0,ACH,Acme Insurance,None
PX7JAIQJ5,HJ7YQAFD,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,17778,0,Credit Card,Acme Insurance,None
PAX0ZXAGC,7C82T1PP,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,19932,0,ACH,Acme Insurance,None
P95E5V6JP,7C82T1PP,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,14872,0,ACH,Acme Insurance,None
PD6VLEXTU,HTHMO2SY,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,9657,0,Credit Card,Acme Insurance,None
PAI77QC48,HTHMO2SY,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,2985,0,ACH,Acme Insurance,None
PSMWVTSKI,HTHMO2SY,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,15867,0,ACH,Acme Insurance,None
P9IT140HH,60FQ8BSY,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,4545,0,ACH,Acme Insurance,None
PNWNDJMOE,60FQ8BSY,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,4301,0,Invoice,Acme Insurance,None
PD782VQWG,60FQ8BSY,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,6807,0,Credit Card,Acme Insurance,None
P9ZT3XC4A,AZAEES4S,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,10984,0,ACH,Acme Insurance,None
PG1TV8J1X,AZAEES4S,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,13450,0,Invoice,Acme Insurance,None
PIZ05H3AK,AZAEES4S,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,11552,0,ACH,Acme Insurance,None
P9TBXCOS0,H1LBZPIN,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,13181,0,ACH,Acme Insurance,None
PFAWR8XPW,8K75LM6K,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,9484,0,Credit Card,Acme Insurance,None
PT8PUMVGW,8K75LM6K,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,15704,0,Invoice,Acme Insurance,None
PL2ZMVNBT,8K75LM6K,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,4384,0,Invoice,Acme Insurance,None
P7ULJV188,306JLHBS,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,19947,0,ACH,Acme Insurance,None
POB8W3HEE,H389N1OJ,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,16326,0,ACH,Acme Insurance,None
P00RG7VMO,9V1A7ILK,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,12391,0,Credit Card,Acme Insurance,None
PZI4EG1JR,9V1A7ILK,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,9663,0,ACH,Acme Insurance,None
PRF4SG5RU,93O5JLNC,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,5067,0,ACH,Acme Insurance,None
P33LAPNDZ,93O5JLNC,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,17813,0,ACH,Acme Insurance,None
PP4K73C4S,93O5JLNC,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,6966,0,Credit Card,Acme Insurance,None
PGITT1WNS,4RSYYC4L,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,6502,0,ACH,Acme Insurance,None
P1LLA728D,4RSYYC4L,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,11995,0,Credit Card,Acme Insurance,None
PSO9YRJFR,SLCIRFYI,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,17559,0,Credit Card,Acme Insurance,None
PA90UWRYG,SLCIRFYI,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,19038,0,Invoice,Acme Insurance,None
P2UEFTULV,SLCIRFYI,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,17337,0,Credit Card,Acme Insurance,None
PTVOZK9JA,81YK9BSJ,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,9378,0,ACH,Acme Insurance,None
PPBCQ6CAB,81YK9BSJ,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,11287,0,Credit Card,Acme Insurance,None
P2CINODFT,TLJPKTCE,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,2188,0,Invoice,Acme Insurance,None
PS1L84YX4,TLJPKTCE,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,7225,0,Credit Card,Acme Insurance,None
