Claim_ID,Policy_Number,Insured_ID,Claim_Date,Claim_Type,Claim_Description,Claim_Status,Claim_Amount,Amount_Paid
CMWULU5PM,PTAZ2YNVF,FC6MOE1B,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,19367,27293
CSJSBTTXQ,PCUIPW7ZR,8XGOUPMS,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,12122,31960
CPCNM8RZA,P4TBH4GU4,W1IZ4YDI,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,15988,19875
CR61DH74I,P6WOFZAUF,NLEJB48X,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,46442,16339
CCQ59SDLV,PIMFXP73N,SMDX7AZR,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,8505,27473
CNLRJUOU5,P9Z6H3WG5,SMDX7AZR,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,43934,35892
CNTVHL2GS,P4XL32H0L,3YK0VIUG,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,19713,29254
CBL7BT84S,PCVGN3VQH,4RZNWCXS,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,35461,20446
CUHL0N2P5,PPT0KANO2,O2QY8J2T,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,27099,17893
C9QZPDM1P,P9HT0KMIQ,BNZPN0PB,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,28926,2546
CXL99JSTP,PRJ775IOO,GJGMW1J8,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,44122,23028
C531LD3QG,P0YSHX335,58NX3A3H,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,16982,37269
C7UI76KV1,PU9RVSOLD,6FD93DDR,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,21929,3879
C9RBBCTRR,PZRFV8DL7,FE5OC9Q3,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,47904,29954
CSJP4VT1Y,PBMCCYT20,3Q0SJBEH,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,24998,7290
C4CQRWX1Q,PROZDXLZS,6Q757U5E,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,5951,35839
CK2XVY4DG,PFVC1V5YL,6Q757U5E,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,32896,18495
CTDQ84CR6,P6C5B7RHI,CESN7G2K,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,45721,20944
CTLPY0I3Z,PX7JAIQJ5,HJ7YQAFD,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,6851,32292
CFEJ5XTYW,PAI77QC48,HTHMO2SY,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,22474,22935
CSSVBHTKS,PSMWVTSKI,HTHMO2SY,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,17943,8997
C0LT72AXD,PNWNDJMOE,60FQ8BSY,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,20524,22581
CG4XHK5U7,P9ZT3XC4A,AZAEES4S,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,16694,19194
C2ATFDCF3,PL2ZMVNBT,8K75LM6K,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,27307,35803
CNJ2M1NN9,P00RG7VMO,9V1A7ILK,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,8148,37512
CXZMCP1OI,PRF4SG5RU,93O5JLNC,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,20826,32457
CAKKF8JVW,PSO9YRJFR,SLCIRFYI,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,6944,31021
CFHFSQZT5,PS1L84YX4,TLJPKTCE,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,5791,9664
CWC4NBXCI,P8OI2J7N8,NB84QH61,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,45339,20361
CUUNDOJ3Q,PJQN7S1IS,02U8FYUR,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,45107,23211
CNNY246H9,PRH3UMZO7,1NKVH9B0,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,41893,34548
C7ZOIPBI9,P5E6RT7D9,5UNRUQ08,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,10637,29151
