Policy_Number,AI_System_Type,Deployment_Stage,Number_of_Active_Agents,Critical_Workflows_Protected,Incident_History_Count,Last_AI_Incident_Date,Has_High_Risk_Use_Cases,Regulatory_Classification,Risk_Score_Internal
P3SICGHZ0,RAG,Production,7,Yes,2,2024-01-01,No,High,18
PW2AM6DD7,RAG,Production,17,Yes,0,2024-01-01,No,Low,42
PMIXE4UZL,Robotics,Production,29,No,0,2024-01-01,No,Medium,22
POK9CUHBD,AV,Pilot,49,No,1,2024-01-01,No,Low,70
PLRR1H24R,Robotics,Production,28,No,5,2024-01-01,Yes,Medium,82
P5SKAGUFQ,AV,Pilot,18,Yes,1,2024-01-01,No,Low,13
PQW2C04NX,Robotics,Production,2,Yes,0,2024-01-01,Yes,High,47
P5IQD9MQS,Robotics,Production,45,No,0,2024-01-01,No,Low,87
PZV93RJRE,Mixed,Pilot,22,Yes,3,2024-01-01,Yes,Medium,48
P919T6JFC,Robotics,Production,48,Yes,2,2024-01-01,No,High,74
P1V1G3YVI,AV,Pilot,1,Yes,5,2024-01-01,Yes,Medium,44
P883SEBDJ,Robotics,Production,23,Yes,3,2024-01-01,Yes,High,88
P0YP7SNBT,Mixed,Production,48,No,4,2024-01-01,No,Low,26
PLS0S4F9B,Robotics,Pilot,15,No,3,2024-01-01,No,Low,90
PR786XYHM,Agentic,Pilot,15,No,5,2024-01-01,No,Medium,16
PMEYLAT84,Robotics,Production,31,Yes,0,2024-01-01,Yes,Medium,80
PANB5SUH0,Robotics,Pilot,23,No,0,2024-01-01,No,Low,43
PXYOJYYJE,Robotics,Pilot,14,No,0,2024-01-01,No,High,6
P6FCT0ZCY,Agentic,Pilot,50,Yes,5,2024-01-01,Yes,Medium,77
P5QJVL8MT,AV,Pilot,48,No,1,2024-01-01,Yes,High,38
PJN16Y48Z,Mixed,Pilot,39,Yes,0,2024-01-01,No,High,45
PTAZ2YNVF,Mixed,Pilot,14,Yes,5,2024-01-01,Yes,Low,31
P5VIEGD2Q,Agentic,Pilot,48,No,5,2024-01-01,Yes,High,56
PVZW324ZK,Mixed,Production,48,No,3,2024-01-01,No,Low,75
P5I3RCHW6,Mixed,Pilot,34,Yes,2,2024-01-01,No,High,77
PCUIPW7ZR,AV,Pilot,41,No,2,2024-01-01,Yes,High,1
PU6YBYHTA,RAG,Pilot,7,No,5,2024-01-01,Yes,Medium,56
P4TBH4GU4,AV,Production,47,Yes,3,2024-01-01,No,Medium,50
P0GVTE61C,RAG,Production,49,Yes,5,2024-01-01,Yes,Low,96
P6WOFZAUF,AV,Pilot,12,Yes,2,2024-01-01,No,Low,35
PADP3U775,Mixed,Pilot,6,Yes,0,2024-01-01,No,Medium,57
PIE4WOAII,AV,Production,42,Yes,1,2024-01-01,No,Low,74
PAGSL5ADZ,RAG,Pilot,39,Yes,4,2024-01-01,Yes,High,54
P9YWR665W,Mixed,Pilot,19,No,4,2024-01-01,Yes,Low,32
PIMFXP73N,Robotics,Production,36,Yes,3,2024-01-01,No,Low,51
P9Z6H3WG5,RAG,Pilot,43,No,3,2024-01-01,Yes,High,23
P4P9RZ3IX,Robotics,Pilot,17,No,4,2024-01-01,No,High,5
P4XL32H0L,Agentic,Pilot,9,Yes,0,2024-01-01,No,Low,34
PXW6VV5B6,Robotics,Production,17,No,1,2024-01-01,Yes,Medium,68
PI9AHTMG9,Mixed,Production,1,No,4,2024-01-01,No,High,67
P3Y1IHE4F,RAG,Pilot,29,Yes,0,2024-01-01,Yes,Low,55
PRMDO2P2V,AV,Production,39,Yes,1,2024-01-01,No,Low,95
PF1AFW0OT,Agentic,Production,29,Yes,0,2024-01-01,Yes,High,52
PCVGN3VQH,RAG,Pilot,39,No,0,2024-01-01,No,High,15
P48X605IZ,Agentic,Production,1,Yes,1,2024-01-01,No,Medium,87
PS4ICMVWV,RAG,Production,36,No,0,2024-01-01,Yes,Low,76
PIJFQX3YT,Mixed,Production,29,Yes,3,2024-01-01,Yes,Medium,88
PCTNZYLXN,Robotics,Pilot,21,Yes,5,2024-01-01,No,Low,30
PL51UCDCA,RAG,Production,38,No,2,2024-01-01,Yes,Medium,45
PL4SGV0ID,RAG,Pilot,20,Yes,5,2024-01-01,Yes,High,58
P9ASBCS60,Mixed,Production,3,Yes,0,2024-01-01,Yes,High,59
PPLFRO0ZM,AV,Pilot,48,Yes,4,2024-01-01,Yes,High,74
P3LCZKGJN,Robotics,Production,30,No,3,2024-01-01,No,Medium,27
PYPZFZO4Z,Mixed,Production,31,Yes,1,2024-01-01,No,High,88
PPT0KANO2,Mixed,Pilot,43,Yes,3,2024-01-01,No,High,92
PZALGWQ12,Robotics,Pilot,9,No,4,2024-01-01,No,Low,60
P9HT0KMIQ,Agentic,Pilot,49,Yes,4,2024-01-01,Yes,Medium,48
PID42JLBL,Agentic,Pilot,22,No,3,2024-01-01,Yes,High,23
PRJ775IOO,Agentic,Pilot,31,Yes,1,2024-01-01,No,High,83
PBJ27VTYG,Robotics,Production,40,Yes,1,2024-01-01,Yes,High,18
PVE230YJZ,AV,Production,28,Yes,4,2024-01-01,No,Low,71
P7PNNSDSF,RAG,Production,23,No,2,2024-01-01,Yes,High,99
P6UAYJO2T,Agentic,Production,2,No,0,2024-01-01,Yes,Low,6
P9BF4CKRV,Mixed,Pilot,21,No,5,2024-01-01,No,High,11
PCFHMKLPB,AV,Production,11,No,1,2024-01-01,No,Medium,81
P6OPMIDRO,Agentic,Production,38,Yes,4,2024-01-01,Yes,Medium,24
PU22199LH,AV,Production,7,No,5,2024-01-01,No,Low,38
P0YSHX335,Mixed,Production,39,Yes,5,2024-01-01,Yes,Low,97
PAQJHVLO6,Agentic,Pilot,18,Yes,2,2024-01-01,No,High,25
PF5OR9UAW,Mixed,Production,45,Yes,5,2024-01-01,No,High,66
PH7ER8PGP,RAG,Production,33,No,2,2024-01-01,No,Low,64
PU9RVSOLD,AV,Pilot,15,Yes,2,2024-01-01,Yes,High,36
PTMQ82B8S,Robotics,Production,1,No,1,2024-01-01,No,Low,54
PBSWAA44P,AV,Production,25,Yes,0,2024-01-01,No,Medium,85
PYFJBCGN2,Robotics,Production,40,Yes,1,2024-01-01,No,Medium,41
P41942K5Z,Agentic,Pilot,4,Yes,2,2024-01-01,No,Medium,24
PQPZOTYVD,AV,Production,4,Yes,5,2024-01-01,Yes,Low,55
PFD47PZS4,AV,Production,16,Yes,0,2024-01-01,No,Medium,95
PZRFV8DL7,AV,Production,48,No,1,2024-01-01,Yes,Medium,57
P00IGFS5Q,Robotics,Production,6,Yes,2,2024-01-01,No,Medium,19
PBMCCYT20,Robotics,Pilot,1,No,4,2024-01-01,No,High,82
PAY3VWVJZ,Robotics,Pilot,27,Yes,0,2024-01-01,No,Low,96
PR1JTWMJE,AV,Pilot,15,Yes,4,2024-01-01,Yes,High,27
PDSSC08IH,Mixed,Pilot,12,Yes,2,2024-01-01,Yes,Low,95
PJEGDM8O8,Agentic,Production,9,No,0,2024-01-01,No,Low,29
PN7SL6DTW,Robotics,Pilot,38,No,2,2024-01-01,Yes,Medium,76
PNOCXQXNR,RAG,Production,18,No,1,2024-01-01,Yes,Low,79
P0QA4VZNS,RAG,Pilot,26,Yes,3,2024-01-01,Yes,Medium,21
P8Y4SZ6QN,Mixed,Pilot,25,No,5,2024-01-01,No,Low,1
PW32IC1QT,RAG,Production,5,No,1,2024-01-01,Yes,Medium,64
PROZDXLZS,AV,Pilot,18,Yes,0,2024-01-01,Yes,High,18
PFVC1V5YL,Mixed,Production,22,Yes,3,2024-01-01,No,High,56
PH90PA344,Agentic,Production,10,Yes,4,2024-01-01,No,Low,18
P9H3V1GYA,Robotics,Pilot,48,Yes,0,2024-01-01,No,Medium,48
P6C5B7RHI,Agentic,Production,16,Yes,5,2024-01-01,No,Low,54
PLKRN5E88,RAG,Production,7,Yes,0,2024-01-01,Yes,Medium,73
PB9Y98C5L,RAG,Pilot,24,Yes,2,2024-01-01,No,High,1
P3XK9BVW5,Robotics,Pilot,31,Yes,5,2024-01-01,No,High,26
PJWPOA6UA,RAG,Production,3,No,3,2024-01-01,No,Medium,92
PFVRPSE19,Mixed,Production,5,No,4,2024-01-01,No,Medium,31
P33Q919QA,Agentic,Production,18,No,2,2024-01-01,No,High,34
P7UJMXUQS,AV,Pilot,7,Yes,5,2024-01-01,No,High,62
PV36R94NL,Robotics,Pilot,45,Yes,3,2024-01-01,Yes,High,4
P3XRREG61,AV,Pilot,48,Yes,3,2024-01-01,No,High,37
PD364O4B2,Robotics,Pilot,8,No,1,2024-01-01,Yes,High,96
P06NSSSFJ,RAG,Production,12,Yes,4,2024-01-01,No,Low,90
PBY7A4H8D,Robotics,Pilot,9,No,0,2024-01-01,Yes,Medium,81
PV4END95Y,AV,Pilot,5,No,0,2024-01-01,No,Low,21
P1DKH8V5P,Mixed,Production,39,No,5,2024-01-01,Yes,Medium,94
P6W4VJO7Y,Agentic,Pilot,38,Yes,2,2024-01-01,No,Low,69
PMFQ24KI0,Robotics,Production,4,Yes,5,2024-01-01,Yes,Medium,12
PMNFKZYM1,Agentic,Pilot,6,No,3,2024-01-01,No,High,64
PJOTQQAYN,Robotics,Pilot,38,Yes,0,2024-01-01,Yes,Medium,38
P107MOAO3,AV,Production,38,No,4,2024-01-01,No,High,53
PQ2CQ4CTV,Mixed,Production,10,Yes,3,2024-01-01,No,Medium,64
PX7JAIQJ5,Agentic,Pilot,47,Yes,4,2024-01-01,No,High,26
PAX0ZXAGC,Robotics,Pilot,28,Yes,4,2024-01-01,No,Medium,79
P95E5V6JP,Mixed,Pilot,24,No,5,2024-01-01,No,Medium,59
PD6VLEXTU,Mixed,Production,45,Yes,0,2024-01-01,Yes,Medium,71
PAI77QC48,Mixed,Pilot,44,Yes,1,2024-01-01,Yes,High,34
PSMWVTSKI,AV,Production,4,Yes,0,2024-01-01,No,Medium,22
P9IT140HH,Mixed,Production,9,No,5,2024-01-01,Yes,High,77
PNWNDJMOE,Robotics,Production,49,Yes,2,2024-01-01,No,Low,33
PD782VQWG,Robotics,Production,44,No,2,2024-01-01,No,Medium,48
P9ZT3XC4A,Mixed,Production,42,Yes,3,2024-01-01,Yes,High,92
PG1TV8J1X,AV,Production,5,Yes,2,2024-01-01,Yes,Low,14
PIZ05H3AK,AV,Production,11,Yes,4,2024-01-01,No,High,25
P9TBXCOS0,Agentic,Production,44,No,4,2024-01-01,Yes,Medium,3
PFAWR8XPW,Mixed,Pilot,37,No,0,2024-01-01,No,High,42
PT8PUMVGW,Mixed,Pilot,27,No,1,2024-01-01,Yes,Low,44
PL2ZMVNBT,RAG,Production,32,No,5,2024-01-01,No,Medium,12
P7ULJV188,AV,Pilot,29,Yes,3,2024-01-01,No,Low,64
POB8W3HEE,Robotics,Pilot,19,Yes,3,2024-01-01,Yes,Low,69
P00RG7VMO,Robotics,Pilot,12,Yes,4,2024-01-01,Yes,High,82
PZI4EG1JR,AV,Pilot,42,No,5,2024-01-01,Yes,High,50
PRF4SG5RU,RAG,Pilot,38,No,1,2024-01-01,No,Low,41
P33LAPNDZ,Robotics,Production,14,Yes,5,2024-01-01,No,High,54
PP4K73C4S,RAG,Pilot,5,No,1,2024-01-01,No,Low,100
PGITT1WNS,Agentic,Production,28,Yes,0,2024-01-01,Yes,Medium,70
P1LLA728D,AV,Pilot,16,No,3,2024-01-01,No,Medium,77
PSO9YRJFR,Mixed,Pilot,39,No,4,2024-01-01,Yes,Medium,5
PA90UWRYG,RAG,Production,45,No,0,2024-01-01,No,Low,73
P2UEFTULV,Robotics,Production,41,No,4,2024-01-01,Yes,Low,77
PTVOZK9JA,RAG,Pilot,26,Yes,4,2024-01-01,No,Low,81
PPBCQ6CAB,Robotics,Pilot,33,No,2,2024-01-01,No,High,16
P2CINODFT,AV,Pilot,12,No,1,2024-01-01,No,Low,90
PS1L84YX4,RAG,Pilot,1,No,0,2024-01-01,No,High,16
P8OI2J7N8,RAG,Pilot,38,Yes,2,2024-01-01,Yes,Medium,59
PVVZTCONW,Agentic,Production,43,No,0,2024-01-01,No,Low,4
PIL7O907G,Robotics,Production,8,Yes,4,2024-01-01,No,High,26
PG91FG4NH,Robotics,Production,19,No,3,2024-01-01,No,High,81
PIA1D1Q1Y,RAG,Production,40,No,3,2024-01-01,No,High,18
PPJKG5GWV,RAG,Production,1,Yes,0,2024-01-01,Yes,High,29
PVPEXBSC1,Agentic,Pilot,31,No,5,2024-01-01,Yes,Medium,68
P9WH72OPU,Robotics,Pilot,19,Yes,4,2024-01-01,Yes,Low,63
PRC0TVCGG,Agentic,Pilot,42,Yes,3,2024-01-01,No,Medium,85
PW9VAILKB,Robotics,Pilot,39,Yes,2,2024-01-01,No,Low,38
PVPH25SZU,Robotics,Pilot,33,No,3,2024-01-01,No,Low,64
PUI6T5SJ1,Agentic,Pilot,1,No,1,2024-01-01,Yes,Medium,88
PJQN7S1IS,Robotics,Pilot,1,Yes,2,2024-01-01,Yes,Medium,50
P5SOVM7CG,RAG,Pilot,4,No,5,2024-01-01,Yes,Low,39
PVHGZL1DP,AV,Pilot,4,Yes,3,2024-01-01,Yes,High,6
PX6N3A0IN,Robotics,Production,50,Yes,1,2024-01-01,Yes,Low,81
PRO0E86Y7,Mixed,Pilot,18,No,2,2024-01-01,Yes,High,94
PB39D1Q8S,AV,Production,44,Yes,2,2024-01-01,Yes,Low,56
PE1U2LTH7,RAG,Production,13,Yes,0,2024-01-01,No,Low,54
PN5MQU1UT,Robotics,Pilot,33,No,4,2024-01-01,No,High,20
PRH3UMZO7,AV,Production,46,Yes,4,2024-01-01,Yes,Low,37
P5E6RT7D9,AV,Production,14,No,3,2024-01-01,Yes,Low,84
PM5DW2IG2,AV,Pilot,16,No,3,2024-01-01,No,Low,83
